t1,t2,observations,tc_predicted,tc_days_after_t2,global_tc_upper_date,positive_lppls_valid,RMSE,SSE,A,B,C1,C2,C,m,omega,phi,damping,optimizer_success,window_dt_requested,positive_bubble_confidence,event_date,tc_error_days,abs_tc_error_days,hit_pm_60d,hit_pm_120d,ci_bin
2009-02-26,2010-02-23,251,2011-07-08,500,2011-07-08,True,0.0304612901076666,0.2329004389508804,6.177303581681632,-0.0024035604854487,9.496940299612312e-05,0.000334467556895,0.0003476891343151,0.9,6.0,1.2941359179140308,1.03694374438103,True,250,0.0384615384615384,2011-02-17,141,141,0,0,Low CI
2009-02-27,2010-02-24,251,2011-07-09,500,2011-07-09,True,0.0303141945055975,0.2306565475193226,6.197084012193455,-0.0024624491331972,8.372283578791037e-05,0.0003432532187555,0.0003533161267454,0.9,6.0,1.3315577465838664,1.0454302592467275,True,250,0.0384615384615384,2011-02-17,142,142,0,0,Low CI
2009-03-02,2010-02-25,251,2011-07-10,500,2011-07-10,True,0.0302963782169024,0.2303855037984614,6.197845537500769,-0.0024651729871974,8.169603122816507e-05,0.0003480700120486,0.0003575289845676,0.9,6.0,1.3402577946308596,1.0342544633878106,True,250,0.0384615384615384,2011-02-17,143,143,0,0,Low CI
2009-03-03,2010-02-26,251,2011-07-11,500,2011-07-11,True,0.0302498700494556,0.2296787141402482,6.176703907977922,-0.0023995606670856,8.928926623154627e-05,0.0003437408130688,0.0003551483065331,0.9,6.0,1.3166553940001855,1.0134754789523543,True,250,0.0384615384615384,2011-02-17,144,144,0,0,Low CI
2009-02-06,2010-03-11,276,2011-07-17,493,2011-07-24,True,0.0369042640742727,0.3758912190943694,6.03581279169707,-0.0017773255994497,0.0001630928995411,-2.510992050476583e-05,0.0001650145508387,0.9,9.69140384227136,-0.1527613650676005,1.000231604695697,True,275,0.0384615384615384,2011-02-17,150,150,0,0,Low CI
2009-03-17,2010-03-12,251,2011-07-22,497,2011-07-25,True,0.0284450244993786,0.2030889741113338,13.029749237042935,-4.008682922875362,0.0034554466337756,0.065663944807595,0.0657548002744572,0.1,6.0,1.5182216250379448,1.0160685116380148,True,250,0.0769230769230769,2011-02-17,155,155,0,0,Low CI
2009-02-09,2010-03-12,276,2011-06-11,456,2011-07-25,True,0.0360124153676147,0.3579427607282532,6.01057581814061,-0.0017988162836857,0.0001770929922325,1.929392489151199e-05,0.0001781409089333,0.9,8.835233809262629,0.1085199717692042,1.0286025793410607,True,275,0.0769230769230769,2011-02-17,114,114,0,1,Low CI
2009-03-18,2010-03-15,251,2011-06-18,460,2011-07-28,True,0.0283728902431728,0.2020602460885346,12.46712843803161,-3.7292222358028297,0.0229629629604158,0.0557155049923407,0.0602620541010094,0.1,6.0,1.1798626886797488,1.031390397444253,True,250,0.0769230769230769,2011-02-17,121,121,0,0,Low CI
2009-02-10,2010-03-15,276,2011-03-03,353,2011-07-28,True,0.0349267464253833,0.3366862219781954,10.698507770709025,-2.83500933237174,-0.0420387909766195,-0.0098691723969024,0.0431817150027148,0.1,6.5528839775719785,-2.91100485730668,1.0018948114102737,True,275,0.0769230769230769,2011-02-17,14,14,1,1,Low CI
2009-03-19,2010-03-16,251,2011-05-04,414,2011-07-29,True,0.0282358110890316,0.2001125179917256,11.755566155515458,-3.3738333107335565,0.0408428591580147,0.0348962465655835,0.0537204539125223,0.1,6.0,0.7070444753654812,1.0467252430602638,True,250,0.0769230769230769,2011-02-17,76,76,0,1,Low CI
2009-02-11,2010-03-16,276,2011-02-22,343,2011-07-29,True,0.0341200137216263,0.3213123928364554,10.867298577108649,-2.9338041032845883,0.0404270100804362,0.024071575803684,0.0470508650899874,0.1,6.105623801896943,0.5370546433853667,1.021253262718539,True,275,0.0769230769230769,2011-02-17,5,5,1,1,Low CI
2009-03-20,2010-03-17,251,2011-03-18,366,2011-07-30,True,0.02811230757499,0.1983657611349015,11.038862410458403,-3.013983460701969,0.0469862829604785,0.0074240863104307,0.0475691900707473,0.1,6.0,0.1567098439329982,1.0559998520819258,True,250,0.0769230769230769,2011-02-17,29,29,1,1,Low CI
2009-02-12,2010-03-17,276,2011-03-11,359,2011-07-30,True,0.0332848413287408,0.3057750627891303,11.350600244846364,-3.1857279424699385,0.0501820729194026,0.007384588536927,0.0507225057577793,0.1,6.0,0.1461072863284172,1.0467831767102511,True,275,0.0769230769230769,2011-02-17,22,22,1,1,Low CI
2009-07-13,2010-03-18,176,2011-07-09,478,2011-07-31,True,0.0208631881135434,0.0766079808139534,7.19878909753534,-0.0057535114743454,-0.0001428105306554,0.0008473257822286,0.0008592763402395,0.9,6.0,1.7377697257552591,1.0043645806787025,True,175,0.1153846153846153,2011-02-17,142,142,0,0,Medium CI
2009-03-23,2010-03-18,251,2011-01-07,295,2011-07-31,True,0.0279241747391368,0.1957196432503235,10.005357014423248,-2.4889914793409225,0.0288756482803141,-0.0281074333778351,0.0402967849176314,0.1,6.0,-0.7719175241573426,1.02944171370352,True,250,0.1153846153846153,2011-02-17,-41,41,1,1,Medium CI
2009-02-13,2010-03-18,276,2011-04-04,382,2011-07-31,True,0.0325218066383242,0.2919163423376716,11.957179927498151,-3.497334843390745,0.0482896727621799,0.025293092225178,0.054512686686585,0.1,6.0,0.482488948136044,1.0692724501296067,True,275,0.1153846153846153,2011-02-17,46,46,1,1,Medium CI
2009-07-14,2010-03-19,176,2011-07-30,498,2011-08-01,True,0.0204111001352829,0.073323889536928,7.297863991450331,-0.0058922868272815,-0.0003300084090574,0.0008081108013328,0.0008728966819042,0.9,6.0,1.9584975447681336,1.012540249510512,True,175,0.1153846153846153,2011-02-17,163,163,0,0,Medium CI
2009-03-24,2010-03-19,251,2010-12-13,269,2011-08-01,True,0.0278580351816903,0.1947936011702584,9.64003248162748,-2.301067586876833,0.0157063511628298,-0.034601005861701,0.0379989351626015,0.1,6.0,-1.1446810196076005,1.0092684514405117,True,250,0.1153846153846153,2011-02-17,-66,66,0,1,Medium CI
2009-02-17,2010-03-19,276,2011-06-05,443,2011-08-01,True,0.0315886477256842,0.2754045755779151,13.333374434304377,-4.192842135635365,0.0224200070246578,0.0598625133763954,0.0639232134887228,0.1,6.0,1.2124421715847815,1.0931975795133893,True,275,0.1153846153846153,2011-02-17,108,108,0,1,Medium CI
2009-07-15,2010-03-22,176,2011-07-30,495,2011-08-04,True,0.020066715184043,0.0708704582568404,7.224306545021776,-0.0056523045167815,-0.000310977130773,0.0007715719409738,0.0008318834269066,0.9,6.0,1.9539237379764487,1.0191880858474418,True,175,0.1153846153846153,2011-02-17,163,163,0,0,Medium CI
2009-03-25,2010-03-22,251,2010-12-08,261,2011-08-04,True,0.0277709490827171,0.1935776288516725,9.54287137465389,-2.25013623026377,0.0123456584321509,-0.0351480757352272,0.0372532214716071,0.1,6.0,-1.2330109688993411,1.0066853019135242,True,250,0.1153846153846153,2011-02-17,-71,71,0,1,Medium CI
2009-02-18,2010-03-22,276,2011-06-05,440,2011-08-04,True,0.0311273019834699,0.267418864340557,13.621989725094815,-4.345034004993325,0.0202855279261425,0.0625591409490289,0.0657658631778126,0.1,6.0,1.2572324187614887,1.1011371236892196,True,275,0.1153846153846153,2011-02-17,108,108,0,1,Medium CI
2009-07-16,2010-03-23,176,2011-08-02,497,2011-08-05,True,0.0199773755488993,0.0702408139526302,7.232721562848729,-0.0056431978416441,-0.0003423812371359,0.000753251538645,0.0008274133138969,0.9,6.0,1.997417409957249,1.0230433352104205,True,175,0.0769230769230769,2011-02-17,166,166,0,0,Low CI
2009-02-19,2010-03-23,276,2011-07-27,491,2011-08-05,True,0.0306620262785654,0.2594841201200524,15.088199622587249,-5.082577220285462,-0.019131661492205,0.0735646287125848,0.0760116771889213,0.1,6.0,1.8252262404207145,1.1144290386798283,True,275,0.0769230769230769,2011-02-17,160,160,0,0,Low CI
2009-07-17,2010-03-24,176,2011-08-03,497,2011-08-06,True,0.0198774213930618,0.0695396910977738,22.53946466143409,-9.002067490461286,-0.0762820576503382,0.1283044092371694,0.1492681270367809,0.1,6.0,2.1071911850007328,1.005133923448942,True,175,0.0769230769230769,2011-02-17,167,167,0,0,Low CI
2009-02-20,2010-03-24,276,2011-07-27,490,2011-08-06,True,0.0301561592747657,0.2509927280485912,15.495763004759038,-5.295596357966111,-0.0234682213235266,0.075325997562837,0.0788971692833562,0.1,6.0,1.872820403311092,1.118670544217536,True,275,0.0769230769230769,2011-02-17,160,160,0,0,Low CI
2009-07-20,2010-03-25,176,2011-08-05,498,2011-08-07,True,0.0197850671151131,0.0688950030119175,22.53879208944755,-8.997105141667138,-0.0799602118388027,0.1253108078689928,0.1486486933884245,0.1,6.0,2.1387569690258874,1.0087660304506647,True,175,0.0769230769230769,2011-02-17,169,169,0,0,Low CI
2009-02-23,2010-03-25,276,2011-08-05,498,2011-08-07,True,0.0299795706779928,0.2480618056181479,16.039471093684494,-5.573873053594519,-0.0335348123830193,0.0755617631146723,0.0826690007594271,0.1,6.0,1.9884879327540408,1.1237329999538157,True,275,0.0769230769230769,2011-02-17,169,169,0,0,Low CI
2009-07-21,2010-03-26,176,2011-07-20,481,2011-08-08,True,0.0196988328203252,0.0682957465490295,21.073860974422903,-8.246724111341933,-0.0523022178523642,0.1254199651608254,0.1358885192104867,0.1,6.0,1.965885648192022,1.0114570579932554,True,175,0.0769230769230769,2011-02-17,153,153,0,0,Low CI
2009-02-24,2010-03-26,276,2011-08-08,500,2011-08-08,True,0.0298669399898748,0.2462014128030251,16.365659615426463,-5.742171851015327,-0.0384233171906236,0.0758359836868027,0.0850143971670463,0.1,6.0,2.039760433649288,1.125725375615385,True,275,0.0769230769230769,2011-02-17,172,172,0,0,Low CI
2009-07-22,2010-03-29,176,2011-05-06,403,2011-08-11,True,0.0196273588548994,0.0678010459489442,16.19458851044546,-5.740883263783493,0.0410693253802749,0.0851924836079803,0.0945750958259461,0.1,6.0,1.1215897609202077,1.0116974970431407,True,175,0.0769230769230769,2011-02-17,78,78,0,1,Low CI
2009-02-25,2010-03-29,276,2011-08-11,500,2011-08-11,True,0.0298148552482003,0.2453434637980342,14.604976781172375,-4.189053133940412,-0.036826212523877,0.0655545945821138,0.0751902573454771,0.1216056375023016,6.0,2.082626527883061,1.129163304901853,True,275,0.0769230769230769,2011-02-17,175,175,0,0,Low CI
2009-07-23,2010-03-30,176,2011-03-23,358,2011-08-12,True,0.0195380416235892,0.0671853724053785,13.74242495613234,-4.465614583491028,0.0629240407640203,0.0379644945248029,0.0734897118690493,0.1,6.0,0.5428706430445818,1.012752776299778,True,175,0.0769230769230769,2011-02-17,34,34,1,1,Low CI
2009-02-26,2010-03-30,276,2011-08-12,500,2011-08-12,True,0.0297730730641306,0.2446563027922496,10.899059554341289,-1.4714773235378322,-0.021836560052106,0.038058468958402,0.043878040229332,0.2035731689083407,6.0,2.0917008415460665,1.1378254367626,True,275,0.0769230769230769,2011-02-17,176,176,0,0,Low CI
2009-07-24,2010-03-31,176,2011-01-11,286,2011-08-13,True,0.0195105767579087,0.0669966185550198,10.81620512437484,-2.928444046312228,0.0423177711576446,-0.0239874939982982,0.0486435363030811,0.1,6.0,-0.5156817848639758,1.0033686791965186,True,175,0.0769230769230769,2011-02-17,-37,37,1,1,Low CI
2009-02-27,2010-03-31,276,2011-08-13,500,2011-08-13,True,0.0296086656571022,0.2419617706303617,6.741524947742666,-0.0096518521747262,-0.0004382534434399,0.0009158140483564,0.0010152740772096,0.761401569433446,6.0,2.0171288325890115,1.2063959802810906,True,275,0.0769230769230769,2011-02-17,177,177,0,0,Low CI
2009-07-27,2010-04-01,176,2011-01-06,280,2011-08-14,True,0.0195047404708174,0.0669565425467743,10.672729355196456,-2.8523274098666427,0.0396096100405538,-0.0259473202688043,0.0473517120777765,0.1,6.0,-0.5799355850329072,1.003950819906157,True,175,0.1153846153846153,2011-02-17,-42,42,1,1,Medium CI
2009-06-22,2010-04-01,201,2011-08-13,499,2011-08-14,True,0.0213548007650439,0.0916615306586592,7.684025286326878,-0.0069807187608618,-0.0005597722493799,0.0008777424319241,0.0010410459874452,0.9,6.0,2.1385052212206284,1.0058228231577584,True,200,0.1153846153846153,2011-02-17,177,177,0,0,Medium CI
2009-03-02,2010-04-01,276,2011-08-14,500,2011-08-14,True,0.0295751459696519,0.2414142355188366,6.7942968324954105,-0.0105573808735479,-0.0005112543876374,0.0009736487930231,0.0010997149726333,0.7533371805614113,6.0,2.054314799538849,1.2053528625311245,True,275,0.1153846153846153,2011-02-17,178,178,0,0,Medium CI
2009-06-23,2010-04-06,201,2011-08-17,498,2011-08-19,True,0.0213152334788562,0.0913221748298887,7.751803925381008,-0.0071597845798038,-0.00060775714097,0.0008798801327691,0.0010693726153413,0.9,6.0,2.1752717875543675,1.004296978960688,True,200,0.0769230769230769,2011-02-17,181,181,0,0,Low CI
