t2,total_fits,valid_fits,mean_tc,median_tc,mean_rmse,positive_bubble_confidence
2006-11-03,23,0,2007-05-10 07:18:15.652173824,2007-04-20,0.020032949398435796,0.0
2006-11-10,23,0,2007-05-13 22:57:23.478260992,2007-04-17,0.01997891263924084,0.0
2006-11-17,23,0,2007-05-16 02:05:13.043478272,2007-04-19,0.01988307083703816,0.0
2006-11-24,23,0,2007-05-18 07:18:15.652173824,2007-04-23,0.019804669878972288,0.0
2006-12-01,23,0,2007-05-16 19:49:33.913043456,2007-04-23,0.01980712878036181,0.0
2006-12-08,23,0,2007-05-15 18:46:57.391304448,2007-04-30,0.019717398206350892,0.0
2006-12-15,23,0,2007-05-18 02:05:13.043478272,2007-04-30,0.019792085957855195,0.0
2006-12-22,23,0,2007-05-19 19:49:33.913043456,2007-05-05,0.019915669789662412,0.0
2007-01-04,23,0,2007-05-01 21:54:46.956521728,2007-04-15,0.02003760351803693,0.0
2007-01-11,23,2,2007-04-08 16:41:44.347826176,2007-03-22,0.0199363336065812,0.08695652173913043
2007-01-18,23,2,2007-04-01 15:39:07.826086912,2007-03-04,0.019788799544022323,0.08695652173913043
2007-01-25,23,2,2007-04-01 18:46:57.391304448,2007-03-02,0.019686991383197357,0.08695652173913043
2007-02-01,23,2,2007-04-02 19:49:33.913043456,2007-03-05,0.019600531190783504,0.08695652173913043
2007-02-08,23,3,2007-03-30 16:41:44.347826176,2007-03-02,0.019524190970860125,0.13043478260869565
2007-02-15,23,3,2007-04-03 07:18:15.652173824,2007-02-24,0.01938073294742103,0.13043478260869565
2007-02-22,23,3,2007-03-31 20:52:10.434782720,2007-03-23,0.019186453684343612,0.13043478260869565
2007-03-01,23,4,2007-05-13 04:10:26.086956544,2007-04-16,0.019483748510861366,0.17391304347826086
2007-03-08,23,3,2007-06-03 10:26:05.217391360,2007-05-02,0.020091091771417116,0.13043478260869565
2007-03-15,23,2,2007-06-20 22:57:23.478260992,2007-05-16,0.020625931510188412,0.08695652173913043
2007-03-22,23,2,2007-07-07 17:44:20.869565184,2007-05-30,0.02081216353625837,0.08695652173913043
2007-03-29,23,2,2007-07-14 06:15:39.130434816,2007-06-08,0.020708488053226688,0.08695652173913043
2007-04-05,23,1,2007-07-16 19:49:33.913043456,2007-06-29,0.020651203413811787,0.043478260869565216
2007-04-16,23,1,2007-07-13 17:44:20.869565184,2007-07-19,0.020305419150520497,0.043478260869565216
2007-04-23,23,1,2007-07-21 12:31:18.260869632,2007-07-31,0.02011489914889673,0.043478260869565216
2007-04-30,23,1,2007-07-19 00:00:00.000000000,2007-07-25,0.019855045275235236,0.043478260869565216
2007-05-08,23,1,2007-08-02 05:13:02.608695552,2007-08-15,0.019722752824867594,0.043478260869565216
2007-05-15,23,0,2007-08-03 07:18:15.652173824,2007-08-09,0.019588864831580045,0.0
2007-05-23,23,0,2007-08-27 03:07:49.565217280,2007-08-22,0.0195099895046651,0.0
2007-05-31,23,0,2007-09-04 03:07:49.565217280,2007-08-28,0.019337721897388093,0.0
2007-06-07,23,1,2007-08-23 11:28:41.739130368,2007-08-12,0.019307676915652015,0.043478260869565216
2007-06-14,23,0,2007-09-09 15:39:07.826086912,2007-09-05,0.019413175112951177,0.0
